id,road,side way,buildings,wall,fence,pole,signal light,traffic sign,vegetation,terrain,sky,people,rider,car,truck,bus,train,motor,bicycle
513f2fd6fdc9f0358700de47,0.3014,0.030191666666666665,0.06719166666666666,0.0,0.02645,0.0,0.0,1.6666666666666667e-05,0.4018583333333333,0.017691666666666668,0.15384166666666665,0.0,0.0,0.0008916666666666667,0.0,0.0,0.0,0.0,0.00046666666666666666
50f44567fdc9f065f00034dd,0.008408333333333334,0.0,0.9908416666666666,0.0,0.0,0.0,0.0,0.0,0.00048333333333333334,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513f12a8fdc9f0358700c9df,0.20000833333333334,0.034525,0.38488333333333336,0.045491666666666666,0.06855,0.0,0.0,0.0,0.14068333333333333,0.0,0.12585833333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513f289ffdc9f0358700d21b,0.30464166666666664,0.013491666666666667,0.0,0.0,0.0,0.0015,0.0,1.6666666666666667e-05,0.20955,0.03425,0.3080583333333333,8.333333333333334e-06,0.0,0.03564166666666667,0.0,0.09249166666666667,0.00035,0.0,0.0
513f148efdc9f0358700cc75,0.22800833333333334,0.08920833333333333,0.4453666666666667,0.0,0.062675,0.0,0.0,0.0,0.06264166666666666,0.0,0.1121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513d5820fdc9f035870032b0,0.31094166666666667,0.00275,0.0,0.0,0.07083333333333333,0.001875,0.0,0.0005583333333333333,0.39613333333333334,0.09750833333333334,0.1194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50f44560fdc9f065f000345c,0.008375,0.0004333333333333333,0.9074416666666667,0.0,0.03986666666666667,5e-05,0.0,0.00013333333333333334,0.0,0.0,0.0,0.0,0.0,0.03344166666666667,0.0,0.0,0.0,0.006958333333333334,0.0033
513f140dfdc9f0358700cbc1,0.28930833333333333,1.6666666666666667e-05,0.216325,0.0,0.0,0.0017,0.0,0.00028333333333333335,0.26543333333333335,0.023891666666666665,0.06796666666666666,0.0,0.0,0.045033333333333335,0.09004166666666667,0.0,0.0,0.0,0.0
513e62abfdc9f0358700b71d,0.42743333333333333,0.008566666666666667,0.0207,0.0,0.12188333333333333,0.00595,0.000175,0.00265,0.04248333333333333,0.05354166666666667,0.31661666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513f2a5afdc9f0358700d514,0.022341666666666666,0.0019833333333333335,0.0037416666666666666,0.0,0.06275833333333333,0.004116666666666667,0.0,0.0,0.30695,0.24705,0.21603333333333333,0.0,0.0,0.135025,0.0,0.0,0.0,0.0,0.0
5140c93ffdc9f04926002499,0.21386666666666668,0.03676666666666667,0.027566666666666666,0.03265,0.11891666666666667,0.0059833333333333336,0.0,0.003841666666666667,0.55885,0.0,0.0,8.333333333333334e-06,0.0,0.0014333333333333333,0.0,0.0,0.0,0.0,0.00011666666666666667
513e6107fdc9f0358700b4b6,0.24326666666666666,0.0036416666666666667,0.045616666666666666,0.007641666666666666,0.0,0.007366666666666666,3.3333333333333335e-05,0.0036333333333333335,0.43585,0.00031666666666666665,0.08831666666666667,4.1666666666666665e-05,0.0,0.164275,0.0,0.0,0.0,0.0,0.0
513f314afdc9f0358700df8c,0.3168,0.00021666666666666666,0.008466666666666667,0.0,0.049775,0.007608333333333333,0.0,0.001958333333333333,0.3733,0.0966,0.13471666666666668,0.0,0.0,0.0009,0.0,0.009658333333333333,0.0,0.0,0.0
50f42b7bfdc9f065f00013ae,0.26798333333333335,0.013433333333333334,0.051916666666666667,0.029041666666666667,0.00135,0.00455,0.0,0.0,0.013558333333333334,0.17765,0.44051666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50f42c12fdc9f065f0001824,0.2611583333333333,0.029025,0.0,0.00010833333333333333,0.0033916666666666665,0.001525,0.0,0.0,0.5002,0.044033333333333334,0.07685,3.3333333333333335e-05,0.0,0.083675,0.0,0.0,0.0,0.0,0.0
